id,title,type,date,cve_id,cvss_score,base_severity,type_cwe,cwe_desc,epss_score,link,description,vendor,product,versions
CERTFR-2025-AVI-0392,Multiples vulnérabilités dans Mattermost Server (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-4128,3.1,LOW,CWE-863,CWE-863: Incorrect Authorization,0.000230000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0392/,"Mattermost versions 10.5.x <= 10.5.4, 9.11.x <= 9.11.13 fail to properly restrict API access to team information, allowing guest users to bypass permissions and view information about public teams they are not members of via a direct API call to /api/v4/teams/{team_id}.",Mattermost,Mattermost,"['10.5.0', '9.11.0']"
CERTFR-2025-AVI-0392,Multiples vulnérabilités dans Mattermost Server (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-4573,4.1,MEDIUM,CWE-90,CWE-90: Improper Neutralization of Special Elements used in an LDAP Query ('LDAP Injection'),0.000280000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0392/,"Mattermost versions 10.7.x <= 10.7.1, 10.6.x <= 10.6.3, 10.5.x <= 10.5.4, 9.11.x <= 9.11.13 fail to properly validate LDAP group ID attributes, allowing an authenticated administrator with PermissionSysconsoleWriteUserManagementGroups permission to execute LDAP search filter injection via the PUT /api/v4/ldap/groups/{remote_id}/link API when objectGUID is configured as the Group ID Attribute.",Mattermost,Mattermost,"['10.7.0', '10.6.0', '10.5.0', '9.11.0']"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43003,6.4,MEDIUM,CWE-749,CWE-749: Exposed Dangerous Method or Function,0.000530000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,SAP S/4 HANA allows an authenticated attacker with user privileges to configure a field not intended for their access and create a custom UI layout displaying this field. On performing this step the attacker could gain access to highly sensitive information. This could cause a high impact on confidentiality and minimal impact on integrity and availability of the application.,SAP_SE,SAP S/4HANA (Private Cloud & On-Premise),"['S4CRM 204', '205', '206', 'S4CEXT 107', '108', 'BBPCRM 702', '712', '713', '714']"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43007,6.3,MEDIUM,CWE-862,CWE-862: Missing Authorization,0.000440000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP Service Parts Management (SPM) does not perform necessary authorization checks for an authenticated user, allowing an attacker to escalate privileges. This has low impact on confidentiality, integrity and availability of the application.",SAP_SE,SAP Service Parts Management (SPM),"['SAP_APPL 617', '618', 'S4CORE 100', '101', '102', '103']"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-23191,3.1,LOW,CWE-644,CWE-644: Improper Neutralization of HTTP Headers for Scripting Syntax,0.000500000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,Cached values belonging to the SAP OData endpoint in SAP Fiori for SAP ERP could be poisoned by modifying the Host header value in an HTTP GET request. An attacker could alter the `atom:link` values in the returned metadata redirecting them from the SAP server to a malicious link set by the attacker. Successful exploitation could cause low impact on integrity of the application.,SAP_SE,SAP Fiori for SAP ERP,"['SAP_GWFND 740', '750', '751', '752', '753', '754', '755', '756', '757', '758']"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-42999,9.1,CRITICAL,CWE-502,CWE-502: Deserialization of Untrusted Data,0.141970000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP NetWeaver Visual Composer Metadata Uploader is vulnerable when a privileged user can upload untrusted or malicious content which, when deserialized, could potentially lead to a compromise of confidentiality, integrity, and availability of the host system.",SAP_SE,SAP NetWeaver (Visual Composer development server),['VCFRAMEWORK 7.50']
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43009,6.3,MEDIUM,CWE-862,CWE-862: Missing Authorization,0.000440000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP Service Parts Management (SPM) does not perform necessary authorization checks for an authenticated user, allowing an attacker to escalate privileges. This has low impact on Confidentiality, integrity and availability of the application.",SAP_SE,SAP Service Parts Management (SPM),"['SAP_APPL 600', '602', '603', '604', '605', '606', '616', '617', '618', 'S4CORE 100', '101', '102']"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43011,7.7,HIGH,CWE-862,CWE-862: Missing Authorization,0.000360000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"Under certain conditions, SAP Landscape Transformation's PCL Basis module does not perform the necessary authorization checks, allowing authenticated users to access restricted functionalities or data. This can lead to a high impact on confidentiality with no impact on the integrity or availability of the application.",SAP_SE,SAP Landscape Transformation (PCL Basis),"['DMIS 2011_1_700', '2011_1_710', '2011_1_730', '2011_1_731', '2018_1_752', '2020', 'S4CORE 102', '103', '104', '105', '106', '107', '108']"
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-43006,6.1,MEDIUM,CWE-79,CWE-79: Improper Neutralization of Input During Web Page Generation,0.001080000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,"SAP Supplier Relationship Management (Master Data Management Catalogue) allows an unauthenticated attacker to execute malicious scripts in the application, potentially leading to a Cross-Site Scripting (XSS) vulnerability. This has no impact on the availability of the application, but it can have some minor impact on its confidentiality and integrity.",SAP_SE,SAP Supplier Relationship Management (Master Data Management Catalog),['SRM_MDM_CAT 7.52']
CERTFR-2025-AVI-0396,Multiples vulnérabilités dans les produits SAP (13 mai 2025),Avis,"Tue, 13 May 2025 00:00:00 +0000",CVE-2025-0060,6.5,MEDIUM,CWE-94,CWE-94: Improper Control of Generation of Code,0.000380000,https://www.cert.ssi.gouv.fr/avis/CERTFR-2025-AVI-0396/,SAP BusinessObjects Business Intelligence Platform allows an authenticated user with restricted access to inject malicious JS code which can read sensitive information from the server and send it to the attacker. The attacker could further use this information to impersonate as a high privileged user causing high impact on confidentiality and integrity of the application.,SAP_SE,SAP BusinessObjects Business Intelligence Platform,"['ENTERPRISE 420', '430', '2025']"
